id,latitude,longitude,elevation,country,name,state,21-Mar,21-Jun,21-Sep,21-Dec
MOE00147752,35.78,-5.82,86,MO,TANGIER CITY,,18.52291667,26.67021277,26.72727273,16.916
MOE00147753,35.7297,-5.9,19,MO,TANGIER AIRPORT,,17.71428571,26.875,28.25,15.83333333
MOE00147754,35.18,-3.85,27,MO,AL HOCEIMA,,18,26.5,26.25,16.5
MOE00147755,34.78,-1.93,468,MO,OUJDA,,19.29846154,30.02372881,29.75,15.97230769
MOE00147756,35.58,-5.33,10,MO,TETUAN,,18.45454545,27.75,27.19230769,16.23076923
MOM00060135,34.051,-6.752,84.1,MO,SALE,,19.66,25.67777778,25.74390244,17.6175
MOM00060150,33.879,-5.515,576.1,MO,BASSATINE,,19.58780488,29.75128205,27.8974359,15.39444444
MOM00060155,33.557,-7.66,61.9,MO,ANFA,,19.25581395,23.8452381,25.37857143,18.11818182
MOM00060220,31.398,-9.682,117,MO,ESSAOUIRA,,19.88275862,21.27333333,22.26206897,19.55185185
MOM00060230,31.607,-8.036,467.9,MO,MENARA,,22.54772727,34.04146341,30.70487805,18.71428571
MOM00060318,35.594,-5.32,3,MO,SANIAT RMEL,,19.14857143,27.34545455,26.72285714,17.91142857
MOW00013017,34.3,-6.6,12.2,MO,KENITRA PORT LYAUTEY,,21.43846154,25.12333333,26.45862069,17.25925926
MOW00013019,33.3667,-7.5833,200.3,MO,NOUASSEUR,,19.90833333,26.45,27.26363636,16.575
MOW00013020,34.2333,-6.0667,55.2,MO,SIDI SLIMANE,,21.01666667,31.11666667,32.04166667,17.275
MOW00013023,32.1167,-7.8833,448.1,MO,BEN GUERIR,,22.5,32.47272727,32,17.05
MP000061974,-10.433,56.75,3,MP,AGALEGA,,31.07846154,28.62,28.8125,31.00625
MP000061986,-16.45,59.617,4,MP,ST. BRANDON (ST. RA,,30.50757576,26.23225806,25.9265625,30.15079365
MP000061988,-19.683,63.417,59,MP,RODRIGUES,,29.56481481,25.63653846,25.424,28.78723404
MP000061990,-20.433,57.683,57,MP,PLAISANCE (MAURITIU,,29.19375,24.87538462,25.0969697,29.37692308
MP000061995,-20.3,57.5,425,MP,VACOAS (MAURITIUS),,27.35272727,22.48490566,22.7037037,27.36603774
MQC00914490,28.2167,-177.35,3,MQ,MIDWAY SAND ISLAND,UM,21.234375,27.6969697,28.6,22.34333333
MQW00022701,28.2,-177.3833,5.5,MQ,MIDWAY HENDERSON FLD AP,UM,21.46976744,27.69756098,28.555,22.42682927
MR000001401,25.23,-11.62,359,MR,BIR MOBHREIN (FORT),,28.58387097,36.47878788,34.815625,20.78125
MR000001403,22.68,-12.7,295,MR,FORT GOURAUD,,30.96176471,39.45714286,37.45428571,23.90857143
MR000001415,20.93,-17.05,8,MR,NOUADHIBOU PORT-ETIENNE,,26.16410256,27.8075,30.7175,24.2925
MR000001421,20.52,-13.07,226,MR,ATAR,,33.86923077,41.95384615,39.1725,26.37948718
MR000001437,19.75,-14.38,123,MR,AKJOUJT,,35.16785714,42.48125,40.11538462,27.74375
MR000001442,18.12,-15.93,5,MR,NOUAKCHOTT,,34.03731343,34.12121212,35.82459016,29.1047619
MR000001450,18.57,-11.43,399,MR,TIDJIXJA,,33.82258065,41.24545455,37.875,26.32857143
MR000001461,17.53,-14.68,85,MR,BOUTILIMIT,,36.23859649,40.52545455,37.71538462,28.75961538
MR000001489,16.5,-15.82,5,MR,ROSSO,,37.42222222,38.09298246,36.37307692,30.18461538
MR000001497,16.62,-7.27,269,MR,NEMA,,36.6,40.97142857,38.475,27.75
MR000001498,16.63,-11.4,110,MR,KIFFA,,37.99433962,41.525,37.73695652,29.692
